prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
AIA Wealth Funds (BPA524),AIA Greater China Equity Fund (BPA531),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA531,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA531&docType=OD,AIA Greater China Equity Fund,AIA Wealth Funds,Greater China Equity,2020
AIA Wealth Funds (BPA524),AIA Growth Fund (BPA525),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA525,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA525&docType=OD,AIA Growth Fund,AIA Wealth Funds,Growth,2020
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Aggressive Growth Fund (BPN120),Allianz Global Investors Asia Pacific Limited,2020-07-02,Offering Documents,No,2,BDN048,BPN120,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPN120&docType=OD,Allianz Selection Diversified Aggressive Growth Fund,Allianz Global Investors Asia Fund,Selection Diversified Aggressive Growth,2020
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Conservative Fund (BPN117),Allianz Global Investors Asia Pacific Limited,2020-07-02,Offering Documents,No,2,BDN048,BPN117,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPN117&docType=OD,Allianz Selection Diversified Conservative Fund,Allianz Global Investors Asia Fund,Selection Diversified Conservative,2020
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Moderate Growth Fund (BPN119),Allianz Global Investors Asia Pacific Limited,2020-07-02,Offering Documents,No,2,BDN048,BPN119,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPN119&docType=OD,Allianz Selection Diversified Moderate Growth Fund,Allianz Global Investors Asia Fund,Selection Diversified Moderate Growth,2020
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Stable Growth Fund (BPN118),Allianz Global Investors Asia Pacific Limited,2020-07-02,Offering Documents,No,2,BDN048,BPN118,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPN118&docType=OD,Allianz Selection Diversified Stable Growth Fund,Allianz Global Investors Asia Fund,Selection Diversified Stable Growth,2020
Allianz Global Investors Choice Fund (AFH733),Allianz Choice China A-Shares Fund (BRC209),Allianz Global Investors Asia Pacific Limited,2021-08-05,Offering Documents,No,0,AFH733,BRC209,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRC209&docType=OD,Allianz Choice China A-Shares Fund,Allianz Global Investors Choice Fund,China A-Shares,2021
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Global Equity Fund (BQA697),Allianz Global Investors Asia Pacific Limited,2020-11-16,Offering Documents,No,2,AFH733,BQA697,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQA697&docType=OD,Allianz Choice Global Equity Fund,Allianz Global Investors Choice Fund,Equity,2020
Allianz Global Investors Fund (AOY394),Allianz China A Opportunities (BRB844),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB844,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB844&docType=OD,Allianz China A Opportunities,Allianz Global Investors Fund,China A Opportunities,2021
Allianz Global Investors Fund (AOY394),Allianz China Strategic Bond (BRB845),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB845,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB845&docType=OD,Allianz China Strategic Bond,Allianz Global Investors Fund,China Strategic Bond,2021
Allianz Global Investors Fund (AOY394),Allianz Food Security (BQC321),Allianz Global Investors GmbH,2020-10-23,Offering Documents,No,11,AOY394,BQC321,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQC321&docType=OD,Allianz Food Security,Allianz Global Investors Fund,Food Security,2020
Allianz Global Investors Fund (AOY394),Allianz Global Equity Growth (BRB846),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB846,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB846&docType=OD,Allianz Global Equity Growth,Allianz Global Investors Fund,Equity Growth,2021
Allianz Global Investors Fund (AOY394),Allianz Global Water (BRB847),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB847,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB847&docType=OD,Allianz Global Water,Allianz Global Investors Fund,Water,2021
Allianz Global Investors Fund (AOY394),Allianz Positive Change (BRB848),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB848,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB848&docType=OD,Allianz Positive Change,Allianz Global Investors Fund,Positive Change,2021
Allianz Global Investors Fund (AOY394),Allianz Renminbi Fixed Income (BRB849),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB849,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB849&docType=OD,Allianz Renminbi Fixed Income,Allianz Global Investors Fund,Renminbi Fixed Income,2021
Allianz Global Investors Fund (AOY394),Allianz Smart Energy (BRB850),Allianz Global Investors GmbH,2021-06-16,Offering Documents,No,11,AOY394,BRB850,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRB850&docType=OD,Allianz Smart Energy,Allianz Global Investors Fund,Smart Energy,2021
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - Climate Transition Global Investment Grade Credit Fund (BQG518),Allspring Global Investments Luxembourg S.A.,2020-12-30,Offering Documents,No,11,ART572,BQG518,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQG518&docType=OD,Allspring (Lux) Worldwide Fund - Climate Transition Global Investment Grade Credit Fund,Allspring (Lux) Worldwide Fund,- Climate Transition Global Investment Grade Credit,2020
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - Global Factor Enhanced Equity Fund (BQG517),Allspring Global Investments Luxembourg S.A.,2020-12-30,Offering Documents,No,11,ART572,BQG517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQG517&docType=OD,Allspring (Lux) Worldwide Fund - Global Factor Enhanced Equity Fund,Allspring (Lux) Worldwide Fund,- Global Factor Enhanced Equity,2020
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - Global Small Cap Equity Fund (BQG519),Allspring Global Investments Luxembourg S.A.,2020-12-30,Offering Documents,No,11,ART572,BQG519,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQG519&docType=OD,Allspring (Lux) Worldwide Fund - Global Small Cap Equity Fund,Allspring (Lux) Worldwide Fund,- Global Small Cap Equity,2020
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - Small Cap Innovation Fund (BQG520),Allspring Global Investments Luxembourg S.A.,2020-12-30,Offering Documents,No,11,ART572,BQG520,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQG520&docType=OD,Allspring (Lux) Worldwide Fund - Small Cap Innovation Fund,Allspring (Lux) Worldwide Fund,- Small Cap Innovation,2020
Amundi Asia Funds (BSG577),,Amundi Luxembourg S.A.,2022-09-07,,,0,BSG577,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD,,Amundi Asia Funds,,2022
Amundi Asia Funds (BSG577),CIO Barbell Income Fund (BSG578),Amundi Luxembourg S.A.,2022-09-07,,No,0,BSG577,BSG578,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG578&docType=OD,CIO Barbell Income Fund,Amundi Asia Funds,CIO Barbell Income,2022
Amundi Funds (AGC783),Emerging Markets Bond (BPS132),Amundi Luxembourg S.A.,2020-08-06,Offering Documents,No,11,AGC783,BPS132,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPS132&docType=OD,Emerging Markets Bond,Amundi Funds,Emerging Markets Bond,2020
Amundi Funds (AGC783),Emerging Markets Green Bond (BRG218),Amundi Luxembourg S.A.,2021-07-14,Offering Documents,No,11,AGC783,BRG218,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRG218&docType=OD,Emerging Markets Green Bond,Amundi Funds,Emerging Markets Green Bond,2021
