Product (CE No.),Sub-fund (CE No.),Issuer,Authorisation date,Documents,Derivative funds,type
BlackRock Global Funds (AAR239),Euro Reserve Fund (ASF264),BlackRock (Luxembourg) S.A.,30/4/2009,Offering Documents,No,0;0;4;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Euro Short Duration Bond Fund (AEW087),BlackRock (Luxembourg) S.A.,22/12/1998,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Euro-Markets Fund (AEW083),BlackRock (Luxembourg) S.A.,22/12/1998,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),European Equity Income Fund (BEZ991),BlackRock (Luxembourg) S.A.,21/5/2015,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),European Fund (ABD886),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),European High Yield Bond Fund (BMA850),BlackRock (Luxembourg) S.A.,14/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),European Special Situations Fund (AHU083),BlackRock (Luxembourg) S.A.,25/9/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),European Value Fund (AHF812),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),FinTech Fund (BOD047),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Fixed Income Global Opportunities Fund (ANQ696),BlackRock (Luxembourg) S.A.,3/10/2006,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Future Of Transport Fund (BOD048),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Allocation Fund (AHF814),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Corporate Bond Fund (AOK598),BlackRock (Luxembourg) S.A.,1/6/2007,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Dynamic Equity Fund (AMV260),BlackRock (Luxembourg) S.A.,9/2/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Equity Income Fund (AXQ391),BlackRock (Luxembourg) S.A.,9/11/2011,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Government Bond Fund (ABD895),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global High Yield Bond Fund (AEW086),BlackRock (Luxembourg) S.A.,22/12/1998,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Inflation Linked Bond Fund (ASZ601),BlackRock (Luxembourg) S.A.,30/9/2009,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Long-Horizon Equity Fund (ABD897),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Global Multi-Asset Income Fund (AZO659),BlackRock (Luxembourg) S.A.,15/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),India Fund (AMV265),BlackRock (Luxembourg) S.A.,2/8/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Japan Flexible Equity Fund (ALI365),BlackRock (Luxembourg) S.A.,25/4/2005,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Japan Small & MidCap Opportunities Fund (ABD893),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Latin American Fund (AHF818),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Natural Resources Growth & Income Fund (AXQ390),BlackRock (Luxembourg) S.A.,9/11/2011,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Next Generation Health Care Fund (BSX534),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Next Generation Technology Fund (BOD050),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Nutrition Fund (ARQ483),BlackRock (Luxembourg) S.A.,30/4/2009,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Sustainable Energy Fund (AGL375),BlackRock (Luxembourg) S.A.,8/3/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Sustainable Global Bond Income Fund (BOD049),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Sustainable Global Infrastructure Fund (BSY416),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Sustainable World Bond Fund (AJC348),BlackRock (Luxembourg) S.A.,28/10/2003,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Swiss Small & MidCap Opportunities Fund (ARQ484),BlackRock (Luxembourg) S.A.,30/4/2009,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Systematic China A-Share Opportunities Fund (BMA847),BlackRock (Luxembourg) S.A.,14/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Systematic Global Equity High Income Fund (ANQ687),BlackRock (Luxembourg) S.A.,3/10/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),Systematic Sustainable Global SmallCap Fund (AHF816),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),United Kingdom Fund (ABD887),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Basic Value Fund (AHF824),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Dollar Bond Fund (AHF825),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Dollar High Yield Bond Fund (AHF829),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Dollar Reserve Fund (ABD896),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;4;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Dollar Short Duration Bond Fund (AHU086),BlackRock (Luxembourg) S.A.,25/9/2002,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Flexible Equity Fund (AHU085),BlackRock (Luxembourg) S.A.,25/9/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Government Mortgage Impact Fund (AHF828),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Growth Fund (AHF831),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),US Mid-Cap Value Fund (ABD894),BlackRock (Luxembourg) S.A.,1/6/1988,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Energy Fund (AGD569),BlackRock (Luxembourg) S.A.,29/11/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Financials Fund (AHF813),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Gold Fund (ACN689),BlackRock (Luxembourg) S.A.,9/1/1995,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Healthscience Fund (AGD565),BlackRock (Luxembourg) S.A.,29/11/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Mining Fund (ADV748),BlackRock (Luxembourg) S.A.,1/4/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Real Estate Securities Fund (BMA852),BlackRock (Luxembourg) S.A.,14/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Global Funds (AAR239),World Technology Fund (AHF823),BlackRock (Luxembourg) S.A.,26/3/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BlackRock Premier Funds (BAV201),,BlackRock Asset Management North Asia Limited,22/7/2013,,,0;0;0;0;0;0;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),BlackRock China A-Shares Fund (BBL720),BlackRock Asset Management North Asia Limited,29/4/2014,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),China US Dollar Bond Fund (BOK628),BlackRock Asset Management North Asia Limited,25/7/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),Dynamic High Income Fund (BSE922),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),Global Megatrend Allocation Fund (BQB866),BlackRock Asset Management North Asia Limited,29/10/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),iShares Asia ex-Japan Equity Index Fund (BAV203),BlackRock Asset Management North Asia Limited,22/7/2013,Offering Documents,No,0;0;0;0;0;7;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),iShares Hong Kong Equity Index Fund (BAV202),BlackRock Asset Management North Asia Limited,22/7/2013,Offering Documents,No,0;0;0;0;0;7;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),iShares World Equity Index Fund (BHG164),BlackRock Asset Management North Asia Limited,3/6/2016,Offering Documents,No,0;0;0;0;0;7;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),iShares World Government Bond Index Fund (BHG167),BlackRock Asset Management North Asia Limited,3/6/2016,Offering Documents,No,0;0;0;0;0;7;0;0;0;0;0;0;0
BlackRock Premier Funds (BAV201),Systematic Global Equity High Income Fund (BSE923),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BNP Paribas A Fund (BDF615),,BNP Paribas ASSET MANAGEMENT Luxembourg,3/9/2014,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
BNP Paribas A Fund (BDF615),BNP PARIBAS A FUND Dynamic Portfolio (BJO513),BNP Paribas ASSET MANAGEMENT Luxembourg,6/7/2017,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),,BNP Paribas ASSET MANAGEMENT Luxembourg,19/3/1998,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Aqua (BND563),BNP Paribas ASSET MANAGEMENT Luxembourg,15/8/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Brazil Equity (AOO536),BNP Paribas ASSET MANAGEMENT Luxembourg,10/4/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds China Equity (BAC415),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Climate Impact (BTC292),BNP Paribas ASSET MANAGEMENT Luxembourg,28/11/2022,,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Consumer Innovators (BAC420),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Disruptive Technology (BAE346),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Ecosystem Restoration (BRV085),BNP Paribas ASSET MANAGEMENT Luxembourg,13/12/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Emerging Bond Opportunities (BAC408),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Emerging Equity (BAE342),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Emerging Multi-Asset Income (BJB882),BNP Paribas ASSET MANAGEMENT Luxembourg,24/4/2017,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Energy Transition (BAC421),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Euro Equity (BDB943),BNP Paribas ASSET MANAGEMENT Luxembourg,24/7/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Europe Emerging Equity (BAC416),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Europe Equity (BAC414),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Europe Growth (BAE337),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Europe Small Cap (BDB942),BNP Paribas ASSET MANAGEMENT Luxembourg,24/7/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Global Convertible (BAE336),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Global Environment (BND564),BNP Paribas ASSET MANAGEMENT Luxembourg,15/8/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Global High Yield Bond (BAE335),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Global Inflation-Linked Bond (ANW484),BNP Paribas ASSET MANAGEMENT Luxembourg,15/1/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Green Tigers (BAC412),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Health Care Innovators (BAE344),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds India Equity (BAE340),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Latin America Equity (AEV562),BNP Paribas ASSET MANAGEMENT Luxembourg,24/12/1998,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Local Emerging Bond (BAE334),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Russia Equity (BAC417),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds SMaRT Food (BRV086),BNP Paribas ASSET MANAGEMENT Luxembourg,13/12/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Asia ex-Japan Equity (BAC413),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Asian Cities Bond (BAC407),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Europe Dividend (AFU808),BNP Paribas ASSET MANAGEMENT Luxembourg,19/6/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Global Corporate Bond (BTC293),BNP Paribas ASSET MANAGEMENT Luxembourg,28/11/2022,,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Global Low Vol Equity (BAC419),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Multi-Asset Balanced (BRV083),BNP Paribas ASSET MANAGEMENT Luxembourg,13/12/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds Sustainable Multi-Asset Growth (BRV084),BNP Paribas ASSET MANAGEMENT Luxembourg,13/12/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds US Growth (BAC418),BNP Paribas ASSET MANAGEMENT Luxembourg,28/3/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds US Mid Cap (AHY056),BNP Paribas ASSET MANAGEMENT Luxembourg,30/9/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNP Paribas Funds (AEK802),BNP Paribas Funds USD Short Duration Bond (AEK827),BNP Paribas ASSET MANAGEMENT Luxembourg,19/3/1998,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),,BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Asian Opportunities Fund (AGR105),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Emerging Markets Corporate Debt Fund (BNB147),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Bond Fund (AGR116),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Emerging Markets Opportunities Fund (BNI972),BNY Mellon Fund Management (Luxembourg) S.A.,19/11/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Equity Income Fund (BNI971),BNY Mellon Fund Management (Luxembourg) S.A.,19/11/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global High Yield Bond Fund (BRX486),BNY Mellon Fund Management (Luxembourg) S.A.,17/3/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Infrastructure Income Fund (BNT740),BNY Mellon Fund Management (Luxembourg) S.A.,7/1/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Leaders Fund (BNI961),BNY Mellon Fund Management (Luxembourg) S.A.,19/11/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global Opportunities Fund (AGR148),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Long-Term Global Equity Fund (BNI960),BNY Mellon Fund Management (Luxembourg) S.A.,19/11/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Mobility Innovation Fund (BNT739),BNY Mellon Fund Management (Luxembourg) S.A.,7/1/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Pan European Equity Fund (AGR155),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon Small Cap Euroland Fund (AGR113),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon S&P 500 Index Tracker (AGR161),BNY Mellon Fund Management (Luxembourg) S.A.,11/10/2001,Offering Documents,No,0;0;0;0;0;7;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon U.S. Equity Income Fund (BNI973),BNY Mellon Fund Management (Luxembourg) S.A.,19/11/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BNY Mellon Global Funds plc (AGR102),BNY Mellon U.S. Municipal Infrastructure Debt Fund (BQF568),BNY Mellon Fund Management (Luxembourg) S.A.,3/2/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
BOC Income Mixed Securities Investment Fund (BFT956),,"Bank of China Investment Management Co., Limited",6/1/2016,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BOC Sustainable Growth Mixed Securities Investment Fund (BFT958),,"Bank of China Investment Management Co., Limited",6/1/2016,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),,BOCI-Prudential Asset Management Limited,28/6/2002,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Aggressive Growth Fund (AIL127),BOCI-Prudential Asset Management Limited,30/4/2003,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Asia Pacific Equity Fund (AHX625),BOCI-Prudential Asset Management Limited,3/10/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Asia Pacific Equity Income Fund (AMZ142),BOCI-Prudential Asset Management Limited,20/2/2006,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Asia Pacific Property Fund (AMZ911),BOCI-Prudential Asset Management Limited,20/2/2006,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Australia Income Fund (ALL116),BOCI-Prudential Asset Management Limited,28/12/2004,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Balanced Growth Fund (AIL128),BOCI-Prudential Asset Management Limited,30/4/2003,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK China Consumption Growth Fund (AQI676),BOCI-Prudential Asset Management Limited,12/3/2008,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK China Equity Fund (AHX622),BOCI-Prudential Asset Management Limited,3/10/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK China Golden Dragon Fund (AJM436),BOCI-Prudential Asset Management Limited,13/4/2004,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK China Income Fund (AJE416),BOCI-Prudential Asset Management Limited,22/10/2003,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Conservative Growth Fund (AIL129),BOCI-Prudential Asset Management Limited,30/4/2003,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Global Bond Fund (AHX626),BOCI-Prudential Asset Management Limited,3/10/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Global Equity Fund (AGW593),BOCI-Prudential Asset Management Limited,20/6/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK HK Dollar Money Market Fund (AGW600),BOCI-Prudential Asset Management Limited,20/6/2002,Offering Documents,No,0;0;4;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Hong Kong Dollar Income Fund (AGW594),BOCI-Prudential Asset Management Limited,20/6/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
BOCHK Investment Funds (AGW589),BOCHK Hong Kong Equity Fund (AGW591),BOCI-Prudential Asset Management Limited,20/6/2002,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
